2021-10-26 13:15:59.045 | INFO     |  5714 | __main__:main:50 | Starting message bus service...
2021-10-26 13:15:59.046 | INFO     |  5714 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-26 13:15:59.049 | INFO     |  5714 | __main__:on_ready:37 | Message bus service started!
2021-10-26 13:15:59.052 | INFO     |  5714 | tornado.access | 101 GET /core (127.0.0.1) 2.20ms
2021-10-26 13:15:59.095 | INFO     |  5714 | tornado.access | 101 GET /core (127.0.0.1) 0.54ms
2021-10-26 13:15:59.173 | INFO     |  5714 | tornado.access | 101 GET /core (127.0.0.1) 0.52ms
2021-10-26 13:15:59.240 | INFO     |  5714 | tornado.access | 101 GET /core (127.0.0.1) 0.74ms
2021-10-26 13:15:59.444 | INFO     |  5714 | tornado.access | 101 GET /core (127.0.0.1) 0.68ms
2021-10-26 13:17:27.232 | INFO     |  5714 | tornado.access | 101 GET /core (127.0.0.1) 0.54ms
2021-10-26 13:17:27.253 | INFO     |  5714 | tornado.access | 101 GET /core (127.0.0.1) 0.68ms
2021-10-26 13:18:06.668 | INFO     |  5714 | __main__:on_stopping:45 | Message bus is shutting down...
