"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 25 08:28:19 GMT 2021","Mon Oct 25 08:28:19 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Mon Oct 25 08:28:25 GMT 2021","Mon Oct 25 08:28:26 GMT 2021","1023","","behave","","","","turn off switch",""
"passed","Mon Oct 25 08:28:19 GMT 2021","Mon Oct 25 08:28:19 GMT 2021","28","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Mon Oct 25 08:28:19 GMT 2021","Mon Oct 25 08:28:19 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Mon Oct 25 08:28:19 GMT 2021","Mon Oct 25 08:28:19 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Mon Oct 25 08:28:35 GMT 2021","Mon Oct 25 08:28:35 GMT 2021","380","","behave","","","","increase light brightness",""
"passed","Mon Oct 25 08:28:19 GMT 2021","Mon Oct 25 08:28:19 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Mon Oct 25 08:28:23 GMT 2021","Mon Oct 25 08:28:24 GMT 2021","1049","","behave","","","","read sensor",""
"passed","Mon Oct 25 08:28:44 GMT 2021","Mon Oct 25 08:28:45 GMT 2021","854","","behave","","","","set climate temperature",""
"passed","Mon Oct 25 08:28:19 GMT 2021","Mon Oct 25 08:28:19 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Mon Oct 25 08:28:24 GMT 2021","Mon Oct 25 08:28:25 GMT 2021","391","","behave","","","","turn on switch",""
"passed","Mon Oct 25 08:28:35 GMT 2021","Mon Oct 25 08:28:35 GMT 2021","419","","behave","","","","set light brightness",""
"passed","Mon Oct 25 08:28:19 GMT 2021","Mon Oct 25 08:28:19 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Mon Oct 25 08:28:25 GMT 2021","Mon Oct 25 08:28:25 GMT 2021","391","","behave","","","","toggle off switch",""
"passed","Mon Oct 25 08:28:36 GMT 2021","Mon Oct 25 08:28:36 GMT 2021","667","","behave","","","","turn off light",""
"passed","Mon Oct 25 08:28:19 GMT 2021","Mon Oct 25 08:28:19 GMT 2021","3","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Mon Oct 25 08:28:35 GMT 2021","Mon Oct 25 08:28:36 GMT 2021","345","","behave","","","","decrease light brightness",""
"passed","Mon Oct 25 08:28:26 GMT 2021","Mon Oct 25 08:28:35 GMT 2021","8196","","behave","","","","turn on light",""
"passed","Mon Oct 25 08:28:25 GMT 2021","Mon Oct 25 08:28:25 GMT 2021","388","","behave","","","","toggle on switch",""
"passed","Mon Oct 25 08:28:36 GMT 2021","Mon Oct 25 08:28:37 GMT 2021","364","","behave","","","","triger automation",""
"passed","Mon Oct 25 08:28:37 GMT 2021","Mon Oct 25 08:28:44 GMT 2021","7472","","behave","","","","tracker",""
"passed","Mon Oct 25 08:28:45 GMT 2021","Mon Oct 25 08:28:46 GMT 2021","528","","behave","","","","add item",""
