2021-10-27 16:43:49.236 | INFO     |  5361 | __main__:main:50 | Starting message bus service...
2021-10-27 16:43:49.237 | INFO     |  5361 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-27 16:43:49.250 | INFO     |  5361 | __main__:on_ready:37 | Message bus service started!
2021-10-27 16:43:49.253 | INFO     |  5361 | tornado.access | 101 GET /core (127.0.0.1) 0.84ms
2021-10-27 16:43:49.300 | INFO     |  5361 | tornado.access | 101 GET /core (127.0.0.1) 0.53ms
2021-10-27 16:43:49.379 | INFO     |  5361 | tornado.access | 101 GET /core (127.0.0.1) 0.49ms
2021-10-27 16:43:49.525 | INFO     |  5361 | tornado.access | 101 GET /core (127.0.0.1) 0.70ms
2021-10-27 16:43:54.229 | INFO     |  5361 | tornado.access | 101 GET /core (127.0.0.1) 0.53ms
2021-10-27 16:45:13.331 | INFO     |  5361 | tornado.access | 101 GET /core (127.0.0.1) 0.52ms
2021-10-27 16:45:48.014 | INFO     |  5361 | __main__:on_stopping:45 | Message bus is shutting down...
