2021-10-25 08:41:51.061 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-singing
2021-10-25 08:41:51.081 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-personal
2021-10-25 08:41:51.087 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-playback-control
2021-10-25 08:41:51.094 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-naptime
2021-10-25 08:41:51.100 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-configuration
2021-10-25 08:41:52.304 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:52.349 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:52.409 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:52.427 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:52.548 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:52.551 | INFO     |  5867 | msm.skill_entry | Installing requirements.txt for mycroft-audio-record
2021-10-25 08:41:52.559 | INFO     |  5867 | msm.skill_entry | Successfully installed fallback-unknown
2021-10-25 08:41:52.561 | INFO     |  5867 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-25 08:41:52.563 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-speak
2021-10-25 08:41:52.576 | INFO     |  5867 | msm.skill_entry | Installing requirements.txt for mycroft-fallback-duck-duck-go
2021-10-25 08:41:52.586 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:52.592 | INFO     |  5867 | msm.skill_entry | Installing requirements.txt for mycroft-ip
2021-10-25 08:41:52.647 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:52.715 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:52.723 | INFO     |  5867 | msm.skill_entry | Successfully installed mycroft-personal
2021-10-25 08:41:52.723 | INFO     |  5867 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-25 08:41:52.727 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-spelling
2021-10-25 08:41:52.741 | INFO     |  5867 | msm.skill_entry | Successfully installed mycroft-playback-control
2021-10-25 08:41:52.741 | INFO     |  5867 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-25 08:41:52.743 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-stop
2021-10-25 08:41:52.837 | INFO     |  5867 | msm.skill_entry | Installing requirements.txt for mycroft-joke
2021-10-25 08:41:52.892 | INFO     |  5867 | msm.skill_entry | Installing requirements.txt for mycroft-configuration
2021-10-25 08:41:52.951 | ERROR    |  5867 | msm.mycroft_skills_manager | Error running install_or_update on homeassistant.mycroftai: MergeConflict
2021-10-25 08:41:52.957 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-support
2021-10-25 08:41:52.960 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:52.974 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:53.123 | INFO     |  5867 | msm.skill_entry | Installing requirements.txt for mycroft-date-time
2021-10-25 08:41:53.123 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:53.129 | INFO     |  5867 | msm.skill_entry | Installing requirements.txt for mycroft-npr-news
2021-10-25 08:41:53.140 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:53.226 | INFO     |  5867 | msm.skill_entry | Installing requirements.txt for fallback-wolfram-alpha
2021-10-25 08:41:53.233 | INFO     |  5867 | msm.skill_entry | Successfully installed mycroft-hello-world
2021-10-25 08:41:53.233 | INFO     |  5867 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-25 08:41:53.234 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/mycroft-timer
2021-10-25 08:41:53.297 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:53.389 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:53.396 | INFO     |  5867 | msm.skill_entry | Successfully installed mycroft-naptime
2021-10-25 08:41:53.397 | INFO     |  5867 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-25 08:41:53.399 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-weather
2021-10-25 08:41:53.470 | INFO     |  5867 | msm.skill_entry | Nothing new for mycroft-pairing
2021-10-25 08:41:53.490 | INFO     |  5867 | msm.skill_entry | Successfully installed mycroft-speak
2021-10-25 08:41:53.491 | INFO     |  5867 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-25 08:41:53.492 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-version-checker
2021-10-25 08:41:53.504 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:53.560 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:53.675 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-wiki
2021-10-25 08:41:53.731 | INFO     |  5867 | msm.skill_entry | Successfully installed mycroft-stop
2021-10-25 08:41:53.732 | INFO     |  5867 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-25 08:41:53.735 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/MycroftAI/skill-query
2021-10-25 08:41:53.759 | INFO     |  5867 | msm.skill_entry | Nothing new for mycroft-volume
2021-10-25 08:41:53.874 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:53.898 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:53.904 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:53.938 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:53.968 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:53.978 | INFO     |  5867 | msm.skill_entry | Installing requirements.txt for mycroft-support-helper
2021-10-25 08:41:53.980 | INFO     |  5867 | msm.skill_entry | Successfully installed mycroft-spelling
2021-10-25 08:41:53.980 | INFO     |  5867 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-25 08:41:54.004 | INFO     |  5867 | msm.skill_entry | Installing requirements.txt for mycroft-volume
2021-10-25 08:41:54.023 | INFO     |  5867 | msm.skill_entry | Successfully installed mycroft-reminder
