"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 26 14:04:19 GMT 2021","Tue Oct 26 14:04:20 GMT 2021","342","","behave","","","","toggle off switch",""
"passed","Tue Oct 26 14:04:19 GMT 2021","Tue Oct 26 14:04:19 GMT 2021","350","","behave","","","","turn on switch",""
"passed","Tue Oct 26 14:04:14 GMT 2021","Tue Oct 26 14:04:14 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Tue Oct 26 14:04:14 GMT 2021","Tue Oct 26 14:04:14 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Tue Oct 26 14:04:18 GMT 2021","Tue Oct 26 14:04:19 GMT 2021","949","","behave","","","","read sensor",""
"passed","Tue Oct 26 14:04:21 GMT 2021","Tue Oct 26 14:04:29 GMT 2021","8240","","behave","","","","turn on light",""
"passed","Tue Oct 26 14:04:14 GMT 2021","Tue Oct 26 14:04:14 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Tue Oct 26 14:04:39 GMT 2021","Tue Oct 26 14:04:40 GMT 2021","777","","behave","","","","set climate temperature",""
"passed","Tue Oct 26 14:04:40 GMT 2021","Tue Oct 26 14:04:40 GMT 2021","580","","behave","","","","add item",""
"passed","Tue Oct 26 14:04:14 GMT 2021","Tue Oct 26 14:04:14 GMT 2021","4","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Tue Oct 26 14:04:20 GMT 2021","Tue Oct 26 14:04:20 GMT 2021","398","","behave","","","","toggle on switch",""
"passed","Tue Oct 26 14:04:30 GMT 2021","Tue Oct 26 14:04:30 GMT 2021","342","","behave","","","","decrease light brightness",""
"passed","Tue Oct 26 14:04:14 GMT 2021","Tue Oct 26 14:04:14 GMT 2021","27","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Tue Oct 26 14:04:14 GMT 2021","Tue Oct 26 14:04:14 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Tue Oct 26 14:04:30 GMT 2021","Tue Oct 26 14:04:30 GMT 2021","354","","behave","","","","increase light brightness",""
"passed","Tue Oct 26 14:04:30 GMT 2021","Tue Oct 26 14:04:31 GMT 2021","669","","behave","","","","turn off light",""
"passed","Tue Oct 26 14:04:14 GMT 2021","Tue Oct 26 14:04:14 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Tue Oct 26 14:04:14 GMT 2021","Tue Oct 26 14:04:14 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Tue Oct 26 14:04:20 GMT 2021","Tue Oct 26 14:04:21 GMT 2021","1015","","behave","","","","turn off switch",""
"passed","Tue Oct 26 14:04:31 GMT 2021","Tue Oct 26 14:04:31 GMT 2021","366","","behave","","","","triger automation",""
"passed","Tue Oct 26 14:04:29 GMT 2021","Tue Oct 26 14:04:30 GMT 2021","368","","behave","","","","set light brightness",""
"passed","Tue Oct 26 14:04:31 GMT 2021","Tue Oct 26 14:04:39 GMT 2021","7575","","behave","","","","tracker",""
