"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 29 20:07:09 GMT 2021","Fri Oct 29 20:07:10 GMT 2021","343","","behave","","","","turn on switch",""
"passed","Fri Oct 29 20:07:20 GMT 2021","Fri Oct 29 20:07:20 GMT 2021","357","","behave","","","","set light brightness",""
"passed","Fri Oct 29 20:07:06 GMT 2021","Fri Oct 29 20:07:06 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Fri Oct 29 20:07:22 GMT 2021","Fri Oct 29 20:07:28 GMT 2021","5458","","behave","","","","triger automation",""
"passed","Fri Oct 29 20:07:06 GMT 2021","Fri Oct 29 20:07:06 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Fri Oct 29 20:07:08 GMT 2021","Fri Oct 29 20:07:09 GMT 2021","936","","behave","","","","read sensor",""
"passed","Fri Oct 29 20:07:30 GMT 2021","Fri Oct 29 20:07:31 GMT 2021","595","","behave","","","","add item",""
"passed","Fri Oct 29 20:07:21 GMT 2021","Fri Oct 29 20:07:22 GMT 2021","1015","","behave","","","","turn off light",""
"passed","Fri Oct 29 20:07:06 GMT 2021","Fri Oct 29 20:07:06 GMT 2021","4","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Fri Oct 29 20:07:06 GMT 2021","Fri Oct 29 20:07:06 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Fri Oct 29 20:07:06 GMT 2021","Fri Oct 29 20:07:06 GMT 2021","24","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Fri Oct 29 20:07:20 GMT 2021","Fri Oct 29 20:07:21 GMT 2021","675","","behave","","","","increase light brightness",""
"passed","Fri Oct 29 20:07:21 GMT 2021","Fri Oct 29 20:07:21 GMT 2021","355","","behave","","","","decrease light brightness",""
"passed","Fri Oct 29 20:07:06 GMT 2021","Fri Oct 29 20:07:06 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Fri Oct 29 20:07:06 GMT 2021","Fri Oct 29 20:07:06 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Fri Oct 29 20:07:30 GMT 2021","Fri Oct 29 20:07:30 GMT 2021","684","","behave","","","","set climate temperature",""
"passed","Fri Oct 29 20:07:06 GMT 2021","Fri Oct 29 20:07:06 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Fri Oct 29 20:07:10 GMT 2021","Fri Oct 29 20:07:10 GMT 2021","341","","behave","","","","toggle off switch",""
"passed","Fri Oct 29 20:07:28 GMT 2021","Fri Oct 29 20:07:30 GMT 2021","2139","","behave","","","","tracker",""
"passed","Fri Oct 29 20:07:11 GMT 2021","Fri Oct 29 20:07:18 GMT 2021","7585","","behave","","","","turn off switch",""
"passed","Fri Oct 29 20:07:10 GMT 2021","Fri Oct 29 20:07:11 GMT 2021","680","","behave","","","","toggle on switch",""
"passed","Fri Oct 29 20:07:18 GMT 2021","Fri Oct 29 20:07:20 GMT 2021","1460","","behave","","","","turn on light",""
