"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 22 08:23:43 GMT 2021","Fri Oct 22 08:23:44 GMT 2021","587","","behave","","","","add item",""
"passed","Fri Oct 22 08:23:42 GMT 2021","Fri Oct 22 08:23:43 GMT 2021","767","","behave","","","","set climate temperature",""
"passed","Fri Oct 22 08:23:21 GMT 2021","Fri Oct 22 08:23:22 GMT 2021","1026","","behave","","","","read sensor",""
"passed","Fri Oct 22 08:23:33 GMT 2021","Fri Oct 22 08:23:33 GMT 2021","405","","behave","","","","set light brightness",""
"passed","Fri Oct 22 08:23:18 GMT 2021","Fri Oct 22 08:23:18 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Fri Oct 22 08:23:23 GMT 2021","Fri Oct 22 08:23:23 GMT 2021","382","","behave","","","","toggle off switch",""
"passed","Fri Oct 22 08:23:33 GMT 2021","Fri Oct 22 08:23:33 GMT 2021","377","","behave","","","","increase light brightness",""
"passed","Fri Oct 22 08:23:33 GMT 2021","Fri Oct 22 08:23:34 GMT 2021","575","","behave","","","","decrease light brightness",""
"passed","Fri Oct 22 08:23:18 GMT 2021","Fri Oct 22 08:23:18 GMT 2021","28","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Fri Oct 22 08:23:18 GMT 2021","Fri Oct 22 08:23:18 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Fri Oct 22 08:23:24 GMT 2021","Fri Oct 22 08:23:25 GMT 2021","1012","","behave","","","","turn off switch",""
"passed","Fri Oct 22 08:23:18 GMT 2021","Fri Oct 22 08:23:18 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Fri Oct 22 08:23:18 GMT 2021","Fri Oct 22 08:23:18 GMT 2021","4","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Fri Oct 22 08:23:25 GMT 2021","Fri Oct 22 08:23:33 GMT 2021","7970","","behave","","","","turn on light",""
"passed","Fri Oct 22 08:23:18 GMT 2021","Fri Oct 22 08:23:18 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Fri Oct 22 08:23:23 GMT 2021","Fri Oct 22 08:23:24 GMT 2021","637","","behave","","","","toggle on switch",""
"passed","Fri Oct 22 08:23:34 GMT 2021","Fri Oct 22 08:23:35 GMT 2021","597","","behave","","","","triger automation",""
"passed","Fri Oct 22 08:23:22 GMT 2021","Fri Oct 22 08:23:23 GMT 2021","346","","behave","","","","turn on switch",""
"passed","Fri Oct 22 08:23:18 GMT 2021","Fri Oct 22 08:23:18 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Fri Oct 22 08:23:18 GMT 2021","Fri Oct 22 08:23:18 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Fri Oct 22 08:23:35 GMT 2021","Fri Oct 22 08:23:42 GMT 2021","7284","","behave","","","","tracker",""
"passed","Fri Oct 22 08:23:34 GMT 2021","Fri Oct 22 08:23:34 GMT 2021","434","","behave","","","","turn off light",""
