"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 06 00:02:59 GMT 2021","Sat Nov 06 00:03:00 GMT 2021","975","","behave","","","","read sensor",""
"passed","Sat Nov 06 00:03:10 GMT 2021","Sat Nov 06 00:03:11 GMT 2021","777","","behave","","","","turn on light",""
"passed","Sat Nov 06 00:02:56 GMT 2021","Sat Nov 06 00:02:56 GMT 2021","26","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Sat Nov 06 00:03:20 GMT 2021","Sat Nov 06 00:03:21 GMT 2021","723","","behave","","","","set climate temperature",""
"passed","Sat Nov 06 00:02:56 GMT 2021","Sat Nov 06 00:02:56 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Sat Nov 06 00:03:21 GMT 2021","Sat Nov 06 00:03:22 GMT 2021","599","","behave","","","","add item",""
"passed","Sat Nov 06 00:03:12 GMT 2021","Sat Nov 06 00:03:13 GMT 2021","1012","","behave","","","","turn off light",""
"passed","Sat Nov 06 00:03:12 GMT 2021","Sat Nov 06 00:03:12 GMT 2021","413","","behave","","","","decrease light brightness",""
"passed","Sat Nov 06 00:03:00 GMT 2021","Sat Nov 06 00:03:00 GMT 2021","408","","behave","","","","turn on switch",""
"passed","Sat Nov 06 00:02:56 GMT 2021","Sat Nov 06 00:02:56 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Sat Nov 06 00:02:56 GMT 2021","Sat Nov 06 00:02:56 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Sat Nov 06 00:02:56 GMT 2021","Sat Nov 06 00:02:56 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Sat Nov 06 00:03:01 GMT 2021","Sat Nov 06 00:03:10 GMT 2021","8592","","behave","","","","turn off switch",""
"passed","Sat Nov 06 00:02:56 GMT 2021","Sat Nov 06 00:02:56 GMT 2021","3","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Sat Nov 06 00:03:14 GMT 2021","Sat Nov 06 00:03:20 GMT 2021","6273","","behave","","","","tracker",""
"passed","Sat Nov 06 00:02:56 GMT 2021","Sat Nov 06 00:02:56 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Sat Nov 06 00:03:11 GMT 2021","Sat Nov 06 00:03:11 GMT 2021","347","","behave","","","","set light brightness",""
"passed","Sat Nov 06 00:02:56 GMT 2021","Sat Nov 06 00:02:56 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Sat Nov 06 00:03:13 GMT 2021","Sat Nov 06 00:03:14 GMT 2021","1037","","behave","","","","triger automation",""
"passed","Sat Nov 06 00:03:00 GMT 2021","Sat Nov 06 00:03:01 GMT 2021","389","","behave","","","","toggle off switch",""
"passed","Sat Nov 06 00:03:01 GMT 2021","Sat Nov 06 00:03:01 GMT 2021","633","","behave","","","","toggle on switch",""
"passed","Sat Nov 06 00:03:11 GMT 2021","Sat Nov 06 00:03:12 GMT 2021","623","","behave","","","","increase light brightness",""
