2021-11-06 19:42:41.264 | INFO     |  5923 | __main__:main:50 | Starting message bus service...
2021-11-06 19:42:41.265 | INFO     |  5923 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-11-06 19:42:41.282 | INFO     |  5923 | __main__:on_ready:37 | Message bus service started!
2021-11-06 19:42:41.295 | INFO     |  5923 | tornado.access | 101 GET /core (127.0.0.1) 0.84ms
2021-11-06 19:42:41.299 | INFO     |  5923 | tornado.access | 101 GET /core (127.0.0.1) 0.46ms
2021-11-06 19:42:41.373 | INFO     |  5923 | tornado.access | 101 GET /core (127.0.0.1) 0.44ms
2021-11-06 19:42:41.428 | INFO     |  5923 | tornado.access | 101 GET /core (127.0.0.1) 0.54ms
2021-11-06 19:42:41.509 | INFO     |  5923 | tornado.access | 101 GET /core (127.0.0.1) 0.53ms
2021-11-06 19:43:54.189 | INFO     |  5923 | tornado.access | 101 GET /core (127.0.0.1) 0.59ms
2021-11-06 19:44:28.556 | INFO     |  5923 | __main__:on_stopping:45 | Message bus is shutting down...
