"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 29 20:14:20 GMT 2021","Fri Oct 29 20:14:20 GMT 2021","341","","behave","","","","climate sensor",""
"passed","Fri Oct 29 20:14:19 GMT 2021","Fri Oct 29 20:14:20 GMT 2021","990","","behave","","","","default sensor",""
"passed","Fri Oct 29 20:14:16 GMT 2021","Fri Oct 29 20:14:16 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Fri Oct 29 20:14:32 GMT 2021","Fri Oct 29 20:14:33 GMT 2021","1015","","behave","","","","turn off light",""
"passed","Fri Oct 29 20:14:16 GMT 2021","Fri Oct 29 20:14:16 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Fri Oct 29 20:14:16 GMT 2021","Fri Oct 29 20:14:16 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Fri Oct 29 20:14:32 GMT 2021","Fri Oct 29 20:14:32 GMT 2021","355","","behave","","","","decrease light brightness",""
"passed","Fri Oct 29 20:14:20 GMT 2021","Fri Oct 29 20:14:20 GMT 2021","392","","behave","","","","turn on switch",""
"passed","Fri Oct 29 20:14:31 GMT 2021","Fri Oct 29 20:14:32 GMT 2021","681","","behave","","","","increase light brightness",""
"passed","Fri Oct 29 20:14:16 GMT 2021","Fri Oct 29 20:14:16 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Fri Oct 29 20:14:16 GMT 2021","Fri Oct 29 20:14:16 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Fri Oct 29 20:14:22 GMT 2021","Fri Oct 29 20:14:30 GMT 2021","7886","","behave","","","","turn off switch",""
"passed","Fri Oct 29 20:14:21 GMT 2021","Fri Oct 29 20:14:22 GMT 2021","1021","","behave","","","","toggle on switch",""
"passed","Fri Oct 29 20:14:30 GMT 2021","Fri Oct 29 20:14:31 GMT 2021","348","","behave","","","","set light brightness",""
"passed","Fri Oct 29 20:14:16 GMT 2021","Fri Oct 29 20:14:16 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Fri Oct 29 20:14:33 GMT 2021","Fri Oct 29 20:14:40 GMT 2021","6683","","behave","","","","triger automation",""
"passed","Fri Oct 29 20:14:30 GMT 2021","Fri Oct 29 20:14:30 GMT 2021","771","","behave","","","","turn on light",""
"passed","Fri Oct 29 20:14:40 GMT 2021","Fri Oct 29 20:14:41 GMT 2021","1013","","behave","","","","tracker",""
"passed","Fri Oct 29 20:14:41 GMT 2021","Fri Oct 29 20:14:41 GMT 2021","487","","behave","","","","set climate temperature",""
"passed","Fri Oct 29 20:14:16 GMT 2021","Fri Oct 29 20:14:16 GMT 2021","24","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Fri Oct 29 20:14:20 GMT 2021","Fri Oct 29 20:14:21 GMT 2021","390","","behave","","","","toggle off switch",""
"passed","Fri Oct 29 20:14:16 GMT 2021","Fri Oct 29 20:14:16 GMT 2021","3","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Fri Oct 29 20:14:41 GMT 2021","Fri Oct 29 20:14:42 GMT 2021","532","","behave","","","","add item",""
