2021-10-22 06:55:46.355 | INFO     |  5800 | __main__:main:50 | Starting message bus service...
2021-10-22 06:55:46.360 | INFO     |  5800 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-22 06:55:46.376 | INFO     |  5800 | __main__:on_ready:37 | Message bus service started!
2021-10-22 06:55:46.417 | INFO     |  5800 | tornado.access | 101 GET /core (127.0.0.1) 0.78ms
2021-10-22 06:55:46.418 | INFO     |  5800 | tornado.access | 101 GET /core (127.0.0.1) 0.41ms
2021-10-22 06:55:46.481 | INFO     |  5800 | tornado.access | 101 GET /core (127.0.0.1) 0.59ms
2021-10-22 06:55:46.546 | INFO     |  5800 | tornado.access | 101 GET /core (127.0.0.1) 0.66ms
2021-10-22 06:55:46.715 | INFO     |  5800 | tornado.access | 101 GET /core (127.0.0.1) 0.59ms
2021-10-22 06:57:05.109 | INFO     |  5800 | tornado.access | 101 GET /core (127.0.0.1) 0.44ms
2021-10-22 06:57:05.117 | INFO     |  5800 | tornado.access | 101 GET /core (127.0.0.1) 0.34ms
2021-10-22 06:57:44.888 | INFO     |  5800 | __main__:on_stopping:45 | Message bus is shutting down...
