"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 10 07:30:17 GMT 2021","Fri Dec 10 07:30:18 GMT 2021","700","","behave","","","","turn on light",""
"passed","Fri Dec 10 07:30:03 GMT 2021","Fri Dec 10 07:30:03 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ip_six_full","Test regex parsing user inputted url as ip v6 address"
"passed","Fri Dec 10 07:30:03 GMT 2021","Fri Dec 10 07:30:03 GMT 2021","25","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Fri Dec 10 07:30:28 GMT 2021","Fri Dec 10 07:30:29 GMT 2021","605","","behave","","","","add item",""
"passed","Fri Dec 10 07:30:03 GMT 2021","Fri Dec 10 07:30:03 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Fri Dec 10 07:30:27 GMT 2021","Fri Dec 10 07:30:28 GMT 2021","721","","behave","","","","set climate temperature",""
"broken","Fri Dec 10 07:30:29 GMT 2021","Fri Dec 10 07:30:29 GMT 2021","604","","behave","","","","show image of missing entity",""
"passed","Fri Dec 10 07:30:20 GMT 2021","Fri Dec 10 07:30:21 GMT 2021","1035","","behave","","","","triger automation",""
"passed","Fri Dec 10 07:30:08 GMT 2021","Fri Dec 10 07:30:17 GMT 2021","8667","","behave","","","","turn off switch",""
"passed","Fri Dec 10 07:30:03 GMT 2021","Fri Dec 10 07:30:03 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_wrong_entry","Test regex parsing user inputted url that should fail"
"passed","Fri Dec 10 07:30:19 GMT 2021","Fri Dec 10 07:30:19 GMT 2021","411","","behave","","","","decrease light brightness",""
"passed","Fri Dec 10 07:30:19 GMT 2021","Fri Dec 10 07:30:20 GMT 2021","1016","","behave","","","","turn off light",""
"passed","Fri Dec 10 07:30:08 GMT 2021","Fri Dec 10 07:30:08 GMT 2021","631","","behave","","","","toggle on switch",""
"passed","Fri Dec 10 07:30:03 GMT 2021","Fri Dec 10 07:30:03 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Fri Dec 10 07:30:07 GMT 2021","Fri Dec 10 07:30:08 GMT 2021","390","","behave","","","","toggle off switch",""
"passed","Fri Dec 10 07:30:03 GMT 2021","Fri Dec 10 07:30:03 GMT 2021","4","unittests","test_haclient","TestUrlChecker","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Fri Dec 10 07:30:06 GMT 2021","Fri Dec 10 07:30:07 GMT 2021","977","","behave","","","","read sensor",""
"passed","Fri Dec 10 07:30:03 GMT 2021","Fri Dec 10 07:30:03 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Fri Dec 10 07:30:03 GMT 2021","Fri Dec 10 07:30:03 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Fri Dec 10 07:30:18 GMT 2021","Fri Dec 10 07:30:19 GMT 2021","625","","behave","","","","increase light brightness",""
"passed","Fri Dec 10 07:30:03 GMT 2021","Fri Dec 10 07:30:03 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
"passed","Fri Dec 10 07:30:03 GMT 2021","Fri Dec 10 07:30:03 GMT 2021","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_all","Test regex parsing user inputted url as ip v6 address"
"passed","Fri Dec 10 07:30:29 GMT 2021","Fri Dec 10 07:30:30 GMT 2021","380","","behave","","","","show image",""
"passed","Fri Dec 10 07:30:03 GMT 2021","Fri Dec 10 07:30:03 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Fri Dec 10 07:30:18 GMT 2021","Fri Dec 10 07:30:18 GMT 2021","351","","behave","","","","set light brightness",""
"passed","Fri Dec 10 07:30:07 GMT 2021","Fri Dec 10 07:30:07 GMT 2021","343","","behave","","","","turn on switch",""
"passed","Fri Dec 10 07:30:21 GMT 2021","Fri Dec 10 07:30:27 GMT 2021","6277","","behave","","","","tracker",""
