2021-10-29 20:13:05.060 | INFO     |  5447 | __main__:main:50 | Starting message bus service...
2021-10-29 20:13:05.061 | INFO     |  5447 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-29 20:13:05.063 | INFO     |  5447 | __main__:on_ready:37 | Message bus service started!
2021-10-29 20:13:05.110 | INFO     |  5447 | tornado.access | 101 GET /core (127.0.0.1) 0.83ms
2021-10-29 20:13:05.188 | INFO     |  5447 | tornado.access | 101 GET /core (127.0.0.1) 0.47ms
2021-10-29 20:13:05.292 | INFO     |  5447 | tornado.access | 101 GET /core (127.0.0.1) 0.42ms
2021-10-29 20:13:10.004 | INFO     |  5447 | tornado.access | 101 GET /core (127.0.0.1) 0.54ms
2021-10-29 20:13:10.048 | INFO     |  5447 | tornado.access | 101 GET /core (127.0.0.1) 0.49ms
2021-10-29 20:14:18.414 | INFO     |  5447 | tornado.access | 101 GET /core (127.0.0.1) 0.47ms
2021-10-29 20:14:53.557 | INFO     |  5447 | __main__:on_stopping:45 | Message bus is shutting down...
