"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 26 16:08:38 GMT 2021","Tue Oct 26 16:08:38 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Tue Oct 26 16:08:38 GMT 2021","Tue Oct 26 16:08:38 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Tue Oct 26 16:08:53 GMT 2021","Tue Oct 26 16:08:53 GMT 2021","425","","behave","","","","set light brightness",""
"passed","Tue Oct 26 16:08:57 GMT 2021","Tue Oct 26 16:09:03 GMT 2021","6475","","behave","","","","add item",""
"passed","Tue Oct 26 16:08:55 GMT 2021","Tue Oct 26 16:08:56 GMT 2021","709","","behave","","","","tracker",""
"passed","Tue Oct 26 16:08:54 GMT 2021","Tue Oct 26 16:08:55 GMT 2021","628","","behave","","","","triger automation",""
"passed","Tue Oct 26 16:08:43 GMT 2021","Tue Oct 26 16:08:44 GMT 2021","390","","behave","","","","toggle off switch",""
"passed","Tue Oct 26 16:08:38 GMT 2021","Tue Oct 26 16:08:38 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Tue Oct 26 16:08:38 GMT 2021","Tue Oct 26 16:08:38 GMT 2021","29","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Tue Oct 26 16:08:44 GMT 2021","Tue Oct 26 16:08:44 GMT 2021","392","","behave","","","","toggle on switch",""
"passed","Tue Oct 26 16:08:45 GMT 2021","Tue Oct 26 16:08:53 GMT 2021","8219","","behave","","","","turn on light",""
"passed","Tue Oct 26 16:08:44 GMT 2021","Tue Oct 26 16:08:45 GMT 2021","633","","behave","","","","turn off switch",""
"passed","Tue Oct 26 16:08:38 GMT 2021","Tue Oct 26 16:08:38 GMT 2021","4","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Tue Oct 26 16:08:42 GMT 2021","Tue Oct 26 16:08:43 GMT 2021","1155","","behave","","","","read sensor",""
"passed","Tue Oct 26 16:08:38 GMT 2021","Tue Oct 26 16:08:38 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Tue Oct 26 16:08:54 GMT 2021","Tue Oct 26 16:08:54 GMT 2021","368","","behave","","","","decrease light brightness",""
"passed","Tue Oct 26 16:08:56 GMT 2021","Tue Oct 26 16:08:57 GMT 2021","1037","","behave","","","","set climate temperature",""
"passed","Tue Oct 26 16:08:38 GMT 2021","Tue Oct 26 16:08:38 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Tue Oct 26 16:08:53 GMT 2021","Tue Oct 26 16:08:54 GMT 2021","371","","behave","","","","increase light brightness",""
"passed","Tue Oct 26 16:08:43 GMT 2021","Tue Oct 26 16:08:43 GMT 2021","391","","behave","","","","turn on switch",""
"passed","Tue Oct 26 16:08:54 GMT 2021","Tue Oct 26 16:08:54 GMT 2021","334","","behave","","","","turn off light",""
"passed","Tue Oct 26 16:08:38 GMT 2021","Tue Oct 26 16:08:38 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
