2021-10-23 09:32:55.103 | INFO     |  5869 | __main__:main:50 | Starting message bus service...
2021-10-23 09:32:55.104 | INFO     |  5869 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-23 09:32:55.108 | INFO     |  5869 | __main__:on_ready:37 | Message bus service started!
2021-10-23 09:32:55.128 | INFO     |  5869 | tornado.access | 101 GET /core (127.0.0.1) 0.75ms
2021-10-23 09:32:55.177 | INFO     |  5869 | tornado.access | 101 GET /core (127.0.0.1) 0.52ms
2021-10-23 09:32:55.250 | INFO     |  5869 | tornado.access | 101 GET /core (127.0.0.1) 0.42ms
2021-10-23 09:32:55.271 | INFO     |  5869 | tornado.access | 101 GET /core (127.0.0.1) 0.56ms
2021-10-23 09:32:55.495 | INFO     |  5869 | tornado.access | 101 GET /core (127.0.0.1) 0.52ms
2021-10-23 09:34:12.787 | INFO     |  5869 | tornado.access | 101 GET /core (127.0.0.1) 0.45ms
2021-10-23 09:34:47.633 | INFO     |  5869 | __main__:on_stopping:45 | Message bus is shutting down...
