"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 23 09:34:10 GMT 2021","Sat Oct 23 09:34:10 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Sat Oct 23 09:34:16 GMT 2021","Sat Oct 23 09:34:17 GMT 2021","1074","","behave","","","","turn off switch",""
"passed","Sat Oct 23 09:34:10 GMT 2021","Sat Oct 23 09:34:10 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Sat Oct 23 09:34:15 GMT 2021","Sat Oct 23 09:34:15 GMT 2021","339","","behave","","","","turn on switch",""
"passed","Sat Oct 23 09:34:26 GMT 2021","Sat Oct 23 09:34:27 GMT 2021","733","","behave","","","","turn off light",""
"passed","Sat Oct 23 09:34:10 GMT 2021","Sat Oct 23 09:34:10 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Sat Oct 23 09:34:14 GMT 2021","Sat Oct 23 09:34:15 GMT 2021","938","","behave","","","","read sensor",""
"passed","Sat Oct 23 09:34:10 GMT 2021","Sat Oct 23 09:34:10 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Sat Oct 23 09:34:35 GMT 2021","Sat Oct 23 09:34:35 GMT 2021","716","","behave","","","","set climate temperature",""
"passed","Sat Oct 23 09:34:35 GMT 2021","Sat Oct 23 09:34:36 GMT 2021","582","","behave","","","","add item",""
"passed","Sat Oct 23 09:34:25 GMT 2021","Sat Oct 23 09:34:25 GMT 2021","362","","behave","","","","set light brightness",""
"passed","Sat Oct 23 09:34:17 GMT 2021","Sat Oct 23 09:34:25 GMT 2021","7913","","behave","","","","turn on light",""
"passed","Sat Oct 23 09:34:15 GMT 2021","Sat Oct 23 09:34:15 GMT 2021","345","","behave","","","","toggle off switch",""
"passed","Sat Oct 23 09:34:26 GMT 2021","Sat Oct 23 09:34:26 GMT 2021","607","","behave","","","","decrease light brightness",""
"passed","Sat Oct 23 09:34:10 GMT 2021","Sat Oct 23 09:34:10 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Sat Oct 23 09:34:25 GMT 2021","Sat Oct 23 09:34:26 GMT 2021","379","","behave","","","","increase light brightness",""
"passed","Sat Oct 23 09:34:10 GMT 2021","Sat Oct 23 09:34:10 GMT 2021","25","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Sat Oct 23 09:34:27 GMT 2021","Sat Oct 23 09:34:35 GMT 2021","7291","","behave","","","","tracker",""
"passed","Sat Oct 23 09:34:27 GMT 2021","Sat Oct 23 09:34:27 GMT 2021","346","","behave","","","","triger automation",""
"passed","Sat Oct 23 09:34:10 GMT 2021","Sat Oct 23 09:34:10 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Sat Oct 23 09:34:10 GMT 2021","Sat Oct 23 09:34:10 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Sat Oct 23 09:34:15 GMT 2021","Sat Oct 23 09:34:16 GMT 2021","672","","behave","","","","toggle on switch",""
