2021-10-26 14:26:00.701 | INFO     |  5723 | __main__:main:50 | Starting message bus service...
2021-10-26 14:26:00.702 | INFO     |  5723 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-26 14:26:00.705 | INFO     |  5723 | __main__:on_ready:37 | Message bus service started!
2021-10-26 14:26:00.718 | INFO     |  5723 | tornado.access | 101 GET /core (127.0.0.1) 0.77ms
2021-10-26 14:26:00.742 | INFO     |  5723 | tornado.access | 101 GET /core (127.0.0.1) 0.51ms
2021-10-26 14:26:00.834 | INFO     |  5723 | tornado.access | 101 GET /core (127.0.0.1) 0.49ms
2021-10-26 14:26:00.841 | INFO     |  5723 | tornado.access | 101 GET /core (127.0.0.1) 0.55ms
2021-10-26 14:26:00.933 | INFO     |  5723 | tornado.access | 101 GET /core (127.0.0.1) 0.47ms
2021-10-26 14:27:20.946 | INFO     |  5723 | tornado.access | 101 GET /core (127.0.0.1) 0.55ms
2021-10-26 14:27:56.589 | INFO     |  5723 | __main__:on_stopping:45 | Message bus is shutting down...
