"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 26 14:48:09 GMT 2021","Tue Oct 26 14:48:09 GMT 2021","381","","behave","","","","toggle off switch",""
"passed","Tue Oct 26 14:48:02 GMT 2021","Tue Oct 26 14:48:02 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Tue Oct 26 14:48:20 GMT 2021","Tue Oct 26 14:48:20 GMT 2021","577","","behave","","","","decrease light brightness",""
"passed","Tue Oct 26 14:48:02 GMT 2021","Tue Oct 26 14:48:02 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Tue Oct 26 14:48:21 GMT 2021","Tue Oct 26 14:48:22 GMT 2021","1031","","behave","","","","triger automation",""
"passed","Tue Oct 26 14:48:08 GMT 2021","Tue Oct 26 14:48:09 GMT 2021","962","","behave","","","","read sensor",""
"passed","Tue Oct 26 14:48:02 GMT 2021","Tue Oct 26 14:48:02 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Tue Oct 26 14:48:19 GMT 2021","Tue Oct 26 14:48:20 GMT 2021","375","","behave","","","","increase light brightness",""
"passed","Tue Oct 26 14:48:22 GMT 2021","Tue Oct 26 14:48:29 GMT 2021","6581","","behave","","","","tracker",""
"passed","Tue Oct 26 14:48:29 GMT 2021","Tue Oct 26 14:48:29 GMT 2021","732","","behave","","","","set climate temperature",""
"passed","Tue Oct 26 14:48:03 GMT 2021","Tue Oct 26 14:48:03 GMT 2021","3","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Tue Oct 26 14:48:02 GMT 2021","Tue Oct 26 14:48:02 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Tue Oct 26 14:48:16 GMT 2021","Tue Oct 26 14:48:19 GMT 2021","2892","","behave","","","","turn on light",""
"passed","Tue Oct 26 14:48:19 GMT 2021","Tue Oct 26 14:48:19 GMT 2021","402","","behave","","","","set light brightness",""
"passed","Tue Oct 26 14:48:02 GMT 2021","Tue Oct 26 14:48:02 GMT 2021","23","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Tue Oct 26 14:48:29 GMT 2021","Tue Oct 26 14:48:30 GMT 2021","583","","behave","","","","add item",""
"passed","Tue Oct 26 14:48:02 GMT 2021","Tue Oct 26 14:48:02 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Tue Oct 26 14:48:09 GMT 2021","Tue Oct 26 14:48:09 GMT 2021","379","","behave","","","","turn on switch",""
"passed","Tue Oct 26 14:48:10 GMT 2021","Tue Oct 26 14:48:16 GMT 2021","6087","","behave","","","","turn off switch",""
"passed","Tue Oct 26 14:48:02 GMT 2021","Tue Oct 26 14:48:02 GMT 2021","3","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Tue Oct 26 14:48:09 GMT 2021","Tue Oct 26 14:48:10 GMT 2021","639","","behave","","","","toggle on switch",""
"passed","Tue Oct 26 14:48:20 GMT 2021","Tue Oct 26 14:48:21 GMT 2021","741","","behave","","","","turn off light",""
