"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 26 13:57:08 GMT 2021","Tue Oct 26 13:57:08 GMT 2021","677","","behave","","","","turn off light",""
"passed","Tue Oct 26 13:56:50 GMT 2021","Tue Oct 26 13:56:50 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Tue Oct 26 13:56:50 GMT 2021","Tue Oct 26 13:56:50 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Tue Oct 26 13:57:08 GMT 2021","Tue Oct 26 13:57:09 GMT 2021","352","","behave","","","","triger automation",""
"passed","Tue Oct 26 13:56:56 GMT 2021","Tue Oct 26 13:56:56 GMT 2021","392","","behave","","","","turn on switch",""
"passed","Tue Oct 26 13:57:17 GMT 2021","Tue Oct 26 13:57:17 GMT 2021","515","","behave","","","","add item",""
"passed","Tue Oct 26 13:57:06 GMT 2021","Tue Oct 26 13:57:07 GMT 2021","430","","behave","","","","set light brightness",""
"passed","Tue Oct 26 13:56:50 GMT 2021","Tue Oct 26 13:56:50 GMT 2021","3","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Tue Oct 26 13:56:50 GMT 2021","Tue Oct 26 13:56:50 GMT 2021","33","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Tue Oct 26 13:57:09 GMT 2021","Tue Oct 26 13:57:16 GMT 2021","7455","","behave","","","","tracker",""
"passed","Tue Oct 26 13:56:50 GMT 2021","Tue Oct 26 13:56:50 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Tue Oct 26 13:56:50 GMT 2021","Tue Oct 26 13:56:50 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Tue Oct 26 13:56:57 GMT 2021","Tue Oct 26 13:56:58 GMT 2021","1015","","behave","","","","turn off switch",""
"passed","Tue Oct 26 13:56:58 GMT 2021","Tue Oct 26 13:57:06 GMT 2021","8181","","behave","","","","turn on light",""
"passed","Tue Oct 26 13:56:56 GMT 2021","Tue Oct 26 13:56:57 GMT 2021","404","","behave","","","","toggle off switch",""
"passed","Tue Oct 26 13:56:57 GMT 2021","Tue Oct 26 13:56:57 GMT 2021","396","","behave","","","","toggle on switch",""
"passed","Tue Oct 26 13:56:55 GMT 2021","Tue Oct 26 13:56:56 GMT 2021","1129","","behave","","","","read sensor",""
"passed","Tue Oct 26 13:56:50 GMT 2021","Tue Oct 26 13:56:50 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Tue Oct 26 13:57:07 GMT 2021","Tue Oct 26 13:57:07 GMT 2021","395","","behave","","","","increase light brightness",""
"passed","Tue Oct 26 13:57:16 GMT 2021","Tue Oct 26 13:57:17 GMT 2021","860","","behave","","","","set climate temperature",""
"passed","Tue Oct 26 13:57:07 GMT 2021","Tue Oct 26 13:57:08 GMT 2021","343","","behave","","","","decrease light brightness",""
"passed","Tue Oct 26 13:56:50 GMT 2021","Tue Oct 26 13:56:50 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
