"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 17 11:01:10 GMT 2022","Thu Mar 17 11:01:10 GMT 2022","347","","behave","","","","set climate temperature",""
"passed","Thu Mar 17 10:57:12 GMT 2022","Thu Mar 17 10:57:12 GMT 2022","34","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"failed","Thu Mar 17 10:59:48 GMT 2022","Thu Mar 17 11:00:08 GMT 2022","20606","","behave","","","","triger automation",""
"passed","Thu Mar 17 10:57:12 GMT 2022","Thu Mar 17 10:57:12 GMT 2022","4","unittests","test_haclient","TestUrlChecker","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Thu Mar 17 11:00:29 GMT 2022","Thu Mar 17 11:00:39 GMT 2022","10303","","behave","","","","where is skill conflict -- @1.1 where is skill conflict",""
"passed","Thu Mar 17 10:59:26 GMT 2022","Thu Mar 17 10:59:27 GMT 2022","348","","behave","","","","increase light brightness",""
"passed","Thu Mar 17 11:01:00 GMT 2022","Thu Mar 17 11:01:10 GMT 2022","10303","","behave","","","","where is skill conflict -- @1.4 where is skill conflict",""
"passed","Thu Mar 17 10:57:12 GMT 2022","Thu Mar 17 10:57:12 GMT 2022","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"failed","Thu Mar 17 10:59:27 GMT 2022","Thu Mar 17 10:59:48 GMT 2022","20606","","behave","","","","turn off light",""
"passed","Thu Mar 17 10:57:12 GMT 2022","Thu Mar 17 10:57:12 GMT 2022","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Thu Mar 17 10:57:12 GMT 2022","Thu Mar 17 10:57:12 GMT 2022","1","unittests","test_haclient","TestUrlChecker","","","test_wrong_entry","Test regex parsing user inputted url that should fail"
"failed","Thu Mar 17 11:00:08 GMT 2022","Thu Mar 17 11:00:29 GMT 2022","20606","","behave","","","","tracker",""
"passed","Thu Mar 17 10:59:27 GMT 2022","Thu Mar 17 10:59:27 GMT 2022","346","","behave","","","","decrease light brightness",""
"passed","Thu Mar 17 10:57:12 GMT 2022","Thu Mar 17 10:57:12 GMT 2022","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"failed","Thu Mar 17 10:58:03 GMT 2022","Thu Mar 17 10:58:24 GMT 2022","20608","","behave","","","","toggle off switch",""
"passed","Thu Mar 17 10:57:12 GMT 2022","Thu Mar 17 10:57:12 GMT 2022","1","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Thu Mar 17 10:57:12 GMT 2022","Thu Mar 17 10:57:12 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
"failed","Thu Mar 17 10:57:22 GMT 2022","Thu Mar 17 10:57:43 GMT 2022","20609","","behave","","","","read sensor",""
"failed","Thu Mar 17 10:57:43 GMT 2022","Thu Mar 17 10:58:03 GMT 2022","20606","","behave","","","","turn on switch",""
"failed","Thu Mar 17 10:58:24 GMT 2022","Thu Mar 17 10:58:45 GMT 2022","20606","","behave","","","","toggle on switch",""
"passed","Thu Mar 17 10:59:26 GMT 2022","Thu Mar 17 10:59:26 GMT 2022","336","","behave","","","","set light brightness",""
"failed","Thu Mar 17 10:58:45 GMT 2022","Thu Mar 17 10:59:05 GMT 2022","20605","","behave","","","","turn off switch",""
"passed","Thu Mar 17 10:57:12 GMT 2022","Thu Mar 17 10:57:12 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_ip_six_full","Test regex parsing user inputted url as ip v6 address"
"passed","Thu Mar 17 10:57:12 GMT 2022","Thu Mar 17 10:57:12 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Thu Mar 17 11:01:10 GMT 2022","Thu Mar 17 11:01:11 GMT 2022","337","","behave","","","","add item",""
"passed","Thu Mar 17 10:57:12 GMT 2022","Thu Mar 17 10:57:12 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_ip_six_all","Test regex parsing user inputted url as ip v6 address"
"passed","Thu Mar 17 11:00:39 GMT 2022","Thu Mar 17 11:00:49 GMT 2022","10303","","behave","","","","where is skill conflict -- @1.2 where is skill conflict",""
"failed","Thu Mar 17 10:59:05 GMT 2022","Thu Mar 17 10:59:26 GMT 2022","20607","","behave","","","","turn on light",""
"passed","Thu Mar 17 11:00:49 GMT 2022","Thu Mar 17 11:01:00 GMT 2022","10303","","behave","","","","where is skill conflict -- @1.3 where is skill conflict",""
