"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 10 09:44:52 GMT 2021","Fri Dec 10 09:44:53 GMT 2021","363","","behave","","","","triger automation",""
"passed","Fri Dec 10 09:45:01 GMT 2021","Fri Dec 10 09:45:02 GMT 2021","581","","behave","","","","add item",""
"passed","Fri Dec 10 09:44:36 GMT 2021","Fri Dec 10 09:44:36 GMT 2021","1","unittests","test_haclient","TestUrlChecker","","","test_wrong_entry","Test regex parsing user inputted url that should fail"
"passed","Fri Dec 10 09:44:40 GMT 2021","Fri Dec 10 09:44:41 GMT 2021","388","","behave","","","","turn on switch",""
"passed","Fri Dec 10 09:44:36 GMT 2021","Fri Dec 10 09:44:36 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Fri Dec 10 09:44:36 GMT 2021","Fri Dec 10 09:44:36 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Fri Dec 10 09:45:00 GMT 2021","Fri Dec 10 09:45:01 GMT 2021","790","","behave","","","","set climate temperature",""
"passed","Fri Dec 10 09:44:36 GMT 2021","Fri Dec 10 09:44:36 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ip_six_full","Test regex parsing user inputted url as ip v6 address"
"passed","Fri Dec 10 09:44:36 GMT 2021","Fri Dec 10 09:44:36 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Fri Dec 10 09:44:52 GMT 2021","Fri Dec 10 09:44:52 GMT 2021","664","","behave","","","","turn off light",""
"passed","Fri Dec 10 09:44:36 GMT 2021","Fri Dec 10 09:44:36 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Fri Dec 10 09:45:02 GMT 2021","Fri Dec 10 09:45:12 GMT 2021","10303","","behave","","","","show image of missing entity",""
"passed","Fri Dec 10 09:44:51 GMT 2021","Fri Dec 10 09:44:51 GMT 2021","353","","behave","","","","increase light brightness",""
"passed","Fri Dec 10 09:44:41 GMT 2021","Fri Dec 10 09:44:42 GMT 2021","1018","","behave","","","","turn off switch",""
"passed","Fri Dec 10 09:44:36 GMT 2021","Fri Dec 10 09:44:36 GMT 2021","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_all","Test regex parsing user inputted url as ip v6 address"
"passed","Fri Dec 10 09:44:41 GMT 2021","Fri Dec 10 09:44:41 GMT 2021","351","","behave","","","","toggle on switch",""
"passed","Fri Dec 10 09:44:36 GMT 2021","Fri Dec 10 09:44:36 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Fri Dec 10 09:44:42 GMT 2021","Fri Dec 10 09:44:51 GMT 2021","8274","","behave","","","","turn on light",""
"passed","Fri Dec 10 09:44:41 GMT 2021","Fri Dec 10 09:44:41 GMT 2021","360","","behave","","","","toggle off switch",""
"passed","Fri Dec 10 09:45:12 GMT 2021","Fri Dec 10 09:45:12 GMT 2021","375","","behave","","","","show image",""
"passed","Fri Dec 10 09:44:53 GMT 2021","Fri Dec 10 09:45:00 GMT 2021","7559","","behave","","","","tracker",""
"passed","Fri Dec 10 09:44:36 GMT 2021","Fri Dec 10 09:44:36 GMT 2021","28","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Fri Dec 10 09:44:36 GMT 2021","Fri Dec 10 09:44:36 GMT 2021","5","unittests","test_haclient","TestUrlChecker","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Fri Dec 10 09:44:36 GMT 2021","Fri Dec 10 09:44:36 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
"passed","Fri Dec 10 09:44:39 GMT 2021","Fri Dec 10 09:44:40 GMT 2021","1080","","behave","","","","read sensor",""
"passed","Fri Dec 10 09:44:51 GMT 2021","Fri Dec 10 09:44:52 GMT 2021","347","","behave","","","","decrease light brightness",""
"passed","Fri Dec 10 09:44:51 GMT 2021","Fri Dec 10 09:44:51 GMT 2021","374","","behave","","","","set light brightness",""
